!$Name$$$bin?$$$$$RA$$$$$$Declination$$Period (s)$pdot$$$$$$$Dist (Kpc)$$$Age (yr)$
! note that if column labels are required, their specification must occur on
! the first line of the file.
!
!  ** TEST.DAT **
! an example data file for PONGO
1010-23  20    152.54      -23.384     2.5179      0.14000E-14  0.97000      0.28496E+08 
1014-53  20    153.66      -53.504     .76958      0.19260E-14   2.0000      0.63309E+07 
1015-56  20    153.84      -56.108     .50346      0.31300E-14   14.000      0.25485E+07 
1016-16  20    154.06      -16.452     1.8047      0.17460E-14   1.9000      0.16377E+08 
1030-58  20    157.56      -58.917     .46421      0.30000E-14   15.000      0.24516E+07 
1039-19  20    159.80      -19.435     1.3864      0.11000E-14   1.2000      0.19969E+08 
1039-55  20    160.00      -55.090     1.1709      0.67330E-14   12.000      0.27553E+07 
1044-57  20    161.08      -57.967     .36943      0.11440E-14   7.1000      0.51164E+07 
1054-62  20    163.62      -62.712     .42245      0.35700E-14   6.0000      0.18749E+07 
1055-52  20    163.95      -52.181     .19711      0.58335E-14  0.92000      0.53535E+06 
1056-57  20    164.23      -57.436     1.1850      0.42880E-14   3.3000      0.43785E+07 
1056-78  20    164.12      -78.972     1.3474      0.13270E-14   1.9000      0.16088E+08 
1105-59  20    166.46      -59.514     1.5165      0.34000E-15   2.7000      0.70671E+08 
1110-65  20    167.65      -65.946     .33421      0.82400E-15   9.3000      0.64263E+07 
1110-69  20    167.73      -69.170     .82048      0.28410E-14   5.5000      0.45758E+07 
1112+50   3    168.20       50.777     1.6564      0.24929E-14  0.32000      0.10528E+08 
1114-41  20    168.59      -41.106     .94315      0.79400E-14   1.5000      0.18820E+07 
1118-79  20    169.55      -79.334     2.2806      0.36700E-14  0.95000      0.98457E+07 
1119-54  20    169.76      -54.461     .53578      0.27669E-14   7.6000      0.30680E+07 
1133+16  16    173.36       16.127     1.1879      0.37327E-14  0.15000      0.50422E+07 
1133-55  20    173.41      -55.142     .36470      0.82284E-14   2.9000      0.70225E+06 
1143-60  20    175.92      -60.239     .27337      0.17941E-14   3.2000      0.24142E+07 
