        mid145       080011           31.4042   -79.7913    26547    28937      
        mid099       138017          228.5305   -79.5306    35689    46693      
        mid126       152017          311.4695   -79.5306    63006    48556      
        mid088       066013          170.9361   -79.5038    32494    58026      
        mid144       080013            9.0639   -79.5038    26587    25932      
        mid096       067009          125.3457   -79.4942    49171    69046      
        mid143       079009           54.6543   -79.4942    40314    51273      
        mid106       069008          110.0499   -79.4768    54328    61722      
        s3south      077008           69.9501   -79.4768   192311   136937      
        mid112       145018          270.0000   -79.4393    40040    39495      
        mid110       144018          264.2906   -79.4021    44219    39082      
        mid114       146018          275.7094   -79.4021    49662    37125      
        mid093       135016          209.2237   -79.3879    24629    49346      
        mid133       155016          330.7763   -79.3879    27552    25819      
        mid091       066010          137.7769   -79.3644    42627    65673      
        mid146       080010           42.2231   -79.3644    28294    34538      
        mid091       067015          194.5791   -79.3018    23841    47269      
        mid139       079015          345.4208   -79.3018    24031    25610      
        mid109       143018          258.6486   -79.2914    50665    35395      
        mid116       147018          281.3514   -79.2914    70481    41497      
        mid107       142018          253.1356   -79.1095    55674    32096      
        mid118       148018          286.8644   -79.1095    92167    51690      
        mid097       137017          223.9661   -79.0147    31118    50155      
        mid128       153017          316.0339   -79.0147    43300    34536      
        mid102       068008          113.8639   -78.9180    54746    67860      
        s3south      078008           66.1361   -78.9180   111050    97194      
        mid105       141018          247.8037   -78.8601    55307    30639      
        mid120       149018          292.1963   -78.8601   103188    61669      
        mid088       066014          180.9457   -78.8188    26060    56264      
        mid143       080014          359.0543   -78.8188    27345    24936      
        mid091       134016          205.7238   -78.7261    23382    44957      
        mid133       156016          334.2762   -78.7261    23632    24247      
        mid092       066009          128.0863   -78.6013    44888    70635      
        mid148       080009           51.9137   -78.6013    32445    41206      
        s3south      037007           90.0000   -78.5607   231206   117144      
        mid103       140018          242.6922   -78.5477    47920    32841      
        mid122       150018          297.3078   -78.5477    95725    66229      
        mid085       065011          149.1779   -78.5136    39676    57946      
        mid149       081011           30.8221   -78.5136    27069    26045      
        mid094       136017          219.7467   -78.4591    26335    48587      
        mid130       154017          320.2533   -78.4591    31135    27584      
        mid084       065012          159.1962   -78.4416    40805    55604      
        mid149       081012           20.8038   -78.4416    28151    25212      
        s3south      036007           97.7287   -78.3581    81895    64398      
        s3south      038007           82.2713   -78.3581   334970   172299      
        s3south      067008          117.1023   -78.2752    51632    73504      
        s3south      079008           62.8977   -78.2752    53813    62660      
        mid086       065010          139.3263   -78.2454    38317    59532      
        mid150       081010           40.6737   -78.2454    27584    30411      
        mid101       139018          237.8272   -78.1776    39740    39317      
        mid124       151018          302.1729   -78.1776    75121    59039      
        mid089       133016          202.5204   -78.0453    24124    42620      
        mid137       157016          337.4796   -78.0453    21750    24243      
        mid084       065013          168.8158   -78.0355    34415    53701      
        mid148       081013           11.1842   -78.0355    30647    23286      
        mid093       135017          215.8452   -77.8697    23087    43784      
        mid132       155017          324.1548   -77.8697    24520    24784      
        mid087       066015          189.5933   -77.8432    23734    49951      
        mid143       080015          350.4066   -77.8432    28109    23383      
        s3south      035007          104.7198   -77.7733    59128    69428      
        s3south      039007           75.2802   -77.7733   244499   148923      
        mid098       138018          233.2223   -77.7553    32785    47689      
        mid126       152018          306.7777   -77.7553    52155    45989      
        mid088       065009          130.1532   -77.6591    37920    63791      
        mid151       081009           49.8468   -77.6591    30887    36916      
        mid093       066008          119.7919   -77.5637    45823    73502      
        mid149       080008           60.2081   -77.5637    39235    47083      
        mid111       145019          270.0000   -77.4393    33952    35300      
        mid110       144019          264.9397   -77.4063    39358    35287      
        mid113       146019          275.0604   -77.4063    40010    32155      
        mid087       132016          199.5720   -77.3493    23634    42699      
        mid139       158016          340.4280   -77.3493    23645    24514      
        mid083       065014          177.5948   -77.3274    26343    52060      
        mid147       081014            2.4051   -77.3274    30880    20605      
        mid109       143019          259.9229   -77.3081    45741    32195      
        mid115       147019          280.0771   -77.3081    55636    35060      
        mid096       137018          228.8809   -77.2863    27976    49126      
        mid128       153018          311.1190   -77.2863    35641    33652      
        mid091       134017          212.2322   -77.2516    22199    39865      
        mid133       156017          327.7678   -77.2516    20279    23488      
        mid081       064011          149.2884   -77.2314    33201    44567      
