#
# DIAM = 40.0
# IREF = None
# PIXSIZE = 3.99999
# Total intensity value = 0.0158849427155 pW
#
# A=0.00262399907943 B=0.0421559823485 C=-0.0241014435006 D=-0.0340034440839 (-1.94825383492 degrees)
# Q RMS = 1.2653363836e-05 pW  U RMS = 8.95130095785e-06 pW
# Qn RMS = 0.000796563391046   Un RMS = 0.000563508545053 
#
# ut obs az el q dq u du i di pi ang p qfit ufit pifit pfit tau tran rej hst at hum bp wndspd wnddir frleg bkleg
20151012 21 180.445194646 76.7663165057 -0.000211174194391 1.00851801209 -9.4480691771e-05 0.882364997109 0.0154382106103 0.989199483372 0.000231346366935 -77.9479755436 0.014563877949 -0.000232350702887 -9.65796420746e-05 0.000251623680117 0.01584038952 0.111972028732 0.601356960186 0 0.148194444444 3.8 10.9 627.25 2.95 269.859304087 6.226251875 6.38656575
20151012 24 196.6447413 76.2245541647 -0.000250708128096 1.04484414243 -9.02419833076e-05 0.869402708775 0.0149633147735 1.06726933979 0.000266454838659 -80.1018711106 0.0167740509633 -0.00023353708123 -0.000102293930714 0.000254958068259 0.0160502982494 0.110860359192 0.603832967345 0 0.404027777778 3.95 9.95 627.149993896 3.9 294.609877788 6.190972625 6.33928775
20151012 36 248.356810593 59.4096131659 -0.00015690970433 1.06516670243 -0.000257394599923 0.998441725862 0.0158021960356 1.22807746348 0.000301450883864 -60.683401234 0.018977146425 -0.000175335676175 -0.000272948481282 0.000324412504034 0.0204226423629 0.104891769409 0.584344458029 0 2.03194444444 3.65 9.3 626.549987793 2.2 297.759086152 6.202358125 6.2917595
20151012 37 250.915148357 56.8063800083 -0.000152537257933 1.14327131346 -0.000285390898947 1.17088625816 0.0157349776215 1.27964912462 0.000323597868132 -59.061925701 0.0203713588351 -0.000152087170088 -0.000292041391441 0.000329269922131 0.020728429937 0.102929875374 0.581647776419 0 2.22833333333 3.5 9.7 626.450012207 2.7 266.181425735 6.190602875 6.27985525
20151012 46 263.55240438 36.2838596835 6.92427292104e-05 1.14550659142 -0.000266276210344 1.15944146543 0.014693360582 0.979420136358 0.000275131924254 -37.7117920039 0.0173202969115 7.30744944145e-05 -0.000303542149398 0.000312214218439 0.0196547273749 0.0976372737885 0.484261948527 1 3.71430555556 4.2 11.35 625.900024414 4.3 264.506144741 6.202368875 6.22076175
20151012 48 264.940598523 33.072163692 0.000108255201133 1.27679648023 -0.000242304506266 1.18009575789 0.0147049096922 0.990519752902 0.000265387758439 -32.9630900279 0.0167068753846 0.000102628769375 -0.000282596735814 0.000300655250073 0.0189270591313 0.0963144965172 0.460599836732 1 3.94236111111 4.3 11.15 625.799987793 2.65 236.133374498 6.1908025 6.22076175
20151115 26 146.992982127 73.8471994048 -0.000255040137756 0.9358666269 -0.00013997915307 0.793785157829 0.0162023107903 0.891912319416 0.000290928917712 -75.6198768944 0.0183147602684 -0.000236412225007 -0.000127876108351 0.000268780652614 0.0169204672266 0.0587147779465 0.770777137656 0 21.2509722222 -0.65 16.2792002029 624.700012207 4.75 283.761024111 4.763177375 4.983666375
20151115 27 157.029032571 75.1742654053 -0.00023133390208 0.907741715726 -9.95533234465e-05 0.728301294779 0.0161946781345 1.05331283208 0.000251845663971 -78.3578141651 0.0158543640025 -0.000235277123316 -0.000113509327403 0.000261227280664 0.0164449620841 0.0583775253296 0.773302202521 0 21.4506944444 -0.6 15.96 624.649993896 5.25 194.357043544 4.481776125 4.72438875
20151115 28 168.550602454 76.0106567279 -0.000220763342823 0.859695879559 -0.000114750786309 0.754710093942 0.0161777118068 0.910005703375 0.000248805539514 -76.2674988698 0.015662979966 -0.000233951490298 -0.000104564242924 0.000256255694007 0.0161319872912 0.0582468695641 0.774526303204 0 21.6504166667 -0.6 17.1835995941 624.599975586 4.95 86.7816221588 4.16547475 4.453206875
20151115 29 180.921197055 76.2697736083 -0.000279293457738 1.12476533485 -0.000119475006883 0.919446209998 0.0168385513774 1.03515283281 0.000303774773155 -78.4199643816 0.0191234415254 -0.000233445551788 -0.000101814960589 0.000254682374438 0.0160329425796 0.0590061993599 0.771966297195 1 21.8495833333 -0.55 17.7687997971 624.649993896 4.9 191.706999894 3.907776875 4.193791625
20151115 37 219.964032443 72.477326673 -0.000217796383096 1.03760236762 -0.000150506373367 0.904847616111 0.0161619180241 1.02736003791 0.000264740312219 -72.6769557788 0.0166661168983 -0.00023633375461 -0.000142840535393 0.000276146812619 0.0173841868721 0.0586175723076 0.769681965396 0 22.5816666667 0.0 21.4396001015 624.75 5.7 148.858625026 3.252616125 3.581066125
20151115 38 227.140898976 70.5260888304 -0.000233753978407 0.954654055943 -0.000143372516943 0.92673167598 0.0168428708839 1.17013557251 0.000274219986572 -74.2386076839 0.0172628879741 -0.000234034998842 -0.000164185637467 0.000285883375231 0.0179971297569 0.0567847986221 0.774269279682 1 22.7816666667 0.15 16.0663993912 624.75 14.55 171.626723411 3.1589425 3.451225125
20151115 39 233.054045257 68.3422390139 -0.00024752761547 0.999688723867 -0.000203372781505 1.01775169016 0.0169058094395 1.1452694252 0.000320359811271 -70.2964547093 0.0201675144197 -0.000228456267182 -0.000187783098163 0.00029572750628 0.0186168443649 0.0565351326466 0.77237485313 0 22.9829166667 0.35 14.2043998985 624.75 7.15 118.668485002 3.111916125 3.392195375
20151115 58 263.463447913 35.0334466275 7.4157095706e-05 0.96422578057 -0.000286614598895 0.994537479815 0.0158843309699 1.09263249036 0.000296052703321 -37.7468596672 0.018637316396 8.50853982959e-05 -0.000296014274112 0.000307999960196 0.0193894284489 0.0469461901188 0.710823746882 0 1.48486111111 0.85 8.03319994926 624.25 10.05 94.5720651015 2.549510125 2.62546275
20151115 59 264.690536997 32.1893367841 0.00012059767862 1.1041522707 -0.00026817963617 1.06823680862 0.0155868694257 0.980754791982 0.000294047814726 -32.8935154685 0.0185111032499 0.000109955176968 -0.000275957148187 0.000297056372727 0.0187005000929 0.0456775875092 0.699869319881 0 1.68694444444 0.9 7.98 624.149993896 10.2 100.933417165 2.56107375 2.613728
20151115 60 265.849067206 29.3740530152 0.00012762429845 1.13268548523 -0.000256210187437 1.01298096666 0.015946507486 1.02376583543 0.000286237002677 -31.7605144056 0.0180193915587 0.00013066835402 -0.000252565954656 0.00028436557491 0.0179015801318 0.0461308188438 0.675825110141 0 1.88666666667 0.65 9.62919969559 624.099975586 6.05 91.7277902825 2.584392625 2.6371975
20151115 62 267.40545207 25.4005085172 0.000136673154036 1.03108891844 -0.000213382183357 0.877435500706 0.0147768573574 0.966370273196 0.000253399895833 -28.6800414564 0.0159522070914 0.000152163565571 -0.000214888624868 0.0002633075612 0.0165759213562 0.0451162655354 0.645855987897 0 2.16791666667 0.35 13.7788003044 624.0 6.6 101.174552647 2.5961465 2.57817625
20151115 63 268.47447422 22.5640854009 0.000156781115138 1.05142759729 -0.000197560857862 0.891969473924 0.0144731735924 0.916331791785 0.00025221144031 -25.7825251432 0.0158773906099 0.000161325689059 -0.000185745496817 0.000246023103667 0.0154878181227 0.0440244193077 0.621501126837 0 2.36847222222 0.3 10.5867997971 623.900024414 5.85 135.107672287 2.5961465 2.5664415
20151115 64 269.517387378 19.7264012251 0.000186271905943 1.14527810705 -0.000148761597446 0.945710688317 0.0143274654838 1.00004256741 0.000238384638386 -19.3058876597 0.0150069561254 0.000164963607401 -0.000155722103616 0.0002268531801 0.0142810197155 0.0438467485905 0.583751595443 0 2.56902777778 0.65 9.68239989853 623.850006104 6.15 62.0317188997 2.5961465 2.55470675
