# ssize snr pt gain qgain maptol numiter
28 10 100 0.161594 0.289231 0.0469137 21
28 10 150 0.137228 0.267033 0.0462521 27
28 30 0 0.631358 0.694977 0.0477715 12
28 30 10 0.563018 0.36456 0.0428086 21
28 30 50 0.454293 0.439421 0.0496155 35
28 30 100 0.335941 0.494292 0.0495327 46
28 30 150 0.304922 0.461758 0.0490034 60
28 100 0 0.792647 0.837276 0.0482739 21
28 100 10 0.736994 0.58572 0.0488804 41
28 100 50 0.663017 0.621581 0.0485159 87
28 100 100 0.539759 0.646636 0.0492344 116
28 100 150 0.496259 0.602683 0.0496597 138
28 300 0 0.879489 0.962914 0.049082 40
28 300 10 0.866449 0.848581 0.0488115 78
28 300 50 0.798343 0.83057 0.0494116 172
28 300 100 0.709401 0.814702 0.0763759 200
28 300 150 0.628378 0.783095 0.0566629 200
28 1000 0 0.935942 1.01302 0.045059 28
28 1000 10 0.928469 0.930944 0.0473761 59
28 1000 50 0.857519 0.918826 0.0498479 151
28 1000 100 0.804567 0.906177 0.0496289 158
28 1000 150 0.773632 0.870297 0.10228 200
28 3000 0 0.966749 1.01785 0.0496503 89
28 3000 10 0.956771 0.969679 0.0764407 200
28 3000 50 0.92649 0.944348 0.177459 200
28 3000 100 0.921942 0.931433 0.375133 200
28 3000 150 0.936469 0.925217 0.660101 200
28 10000 0 0.963818 1.00294 0.0495778 200
28 10000 10 0.961787 0.994787 0.224229 200
28 10000 50 0.95843 0.989998 0.668413 200
28 10000 100 0.969641 0.948105 0.974 200
28 10000 150 0.983191 0.937197 1.01883 200
32 10 0 0.164641 0.192499 0.0354736 8
32 10 10 0.119303 0.14967 0.0325992 9
32 10 50 0.0981521 0.187041 0.0453272 15
32 10 100 0.0750924 0.165358 0.0439903 18
32 10 150 0.0617367 0.176359 0.0492807 21
32 30 0 0.45223 0.498722 0.040298 13
32 30 10 0.396016 0.258591 0.0483536 20
32 30 50 0.31048 0.289594 0.0471962 36
32 30 100 0.195232 0.340187 0.0490742 42
32 30 150 0.189818 0.280132 0.048958 56
32 100 0 0.680713 0.755682 0.0473179 23
32 100 10 0.635803 0.524414 0.0496825 51
32 100 50 0.536164 0.536571 0.0488646 100
32 100 100 0.415491 0.540711 0.0495826 114
32 100 150 0.369673 0.446201 0.0498751 103
32 300 0 0.801833 0.95268 0.0485337 38
32 300 10 0.781156 0.812254 0.0499729 83
32 300 50 0.699416 0.762761 0.0530157 200
32 300 100 0.595757 0.74503 0.062972 200
32 300 150 0.523845 0.690496 0.0498032 122
32 1000 0 0.924759 1.04313 0.049548 86
32 1000 10 0.93326 0.94658 0.0497567 130
32 1000 50 0.891219 0.944991 0.0754043 200
32 1000 100 0.876748 0.947785 0.148235 200
32 1000 150 0.875694 0.948028 0.182846 200
32 3000 0 0.94251 1.01841 0.0498783 169
32 3000 10 0.93966 0.983042 0.103927 200
32 3000 50 0.929955 0.966995 0.236562 200
32 3000 100 0.920055 0.97192 0.40025 200
32 3000 150 0.926765 0.970186 0.570329 200
32 10000 0 0.954425 0.990664 0.104412 200
32 10000 10 0.958382 0.976614 0.236721 200
32 10000 50 0.953605 0.961486 0.725327 200
32 10000 100 0.946348 0.921652 0.966838 200
32 10000 150 0.937489 0.919346 0.97925 200
