QueryResult

# Config entry for original catalog server:
serv_type: archive
long_name: HST Archive at CADC
short_name: hst@cadc
url: http://cadcwww.dao.nrc.ca/cadcbin/hst-server?ra=%ra&dec=%dec&radius=%r2&nout=%n
symbol: ra plus 2
# End config entry

TARGNAME	RA	DEC	INTRUMENT	EXPOSURE TIME	RELEASE DATE	DATASET	DISTANCE	MORE	PREVIEW
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 28 1993  1:23:19:000PM	W10Y0405T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0405T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0405T/skycat/396751156/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 28 1993  1:40:36:000PM	W10Y0406T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0406T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0406T/skycat/396752296/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 28 1993  1:55:48:000PM	W10Y0407T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0407T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0407T/skycat/396757096/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 28 1993  2:11:40:000PM	W10Y0408T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0408T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0408T/skycat/396758236/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	100	Jul 29 1993  5:26:05:000PM	W10Y0501T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0501T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0501T/skycat/396867496/NGC1275/100/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	100	Jul 29 1993  5:37:51:000PM	W10Y0502T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0502T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0502T/skycat/396867916/NGC1275/100/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	100	Jul 29 1993  5:49:39:000PM	W10Y0503T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0503T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0503T/skycat/396868336/NGC1275/100/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	100	Jul 29 1993  6:02:01:000PM	W10Y0504T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0504T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0504T/skycat/396868756/NGC1275/100/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	100	Jul 29 1993  6:14:29:000PM	W10Y0505T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0505T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0505T/skycat/396869176/NGC1275/100/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	100	Jul 29 1993  6:42:01:000PM	W10Y0506T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0506T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0506T/skycat/396872836/NGC1275/100/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:39.14	WFPC	700	Feb 20 1992  2:13:45:000PM	W0HJ0301T	+0 0 0.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W0HJ0301T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W0HJ0301T/skycat/351501733/NGC1275/700/49.9503772222222/41.5108708333333
NGC1275	03:19:48.09	+41:30:39.14	WFPC	700	Feb 20 1992  2:28:21:000PM	W0HJ0302T	+0 0 0.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W0HJ0302T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W0HJ0302T/skycat/351502813/NGC1275/700/49.9503772222222/41.5108708333333
