QueryResult

# Config entry for original catalog server:
serv_type: catalog
long_name: USNO at ESO
short_name: usno@eso
url: http://archive.eso.org/skycat/servers/usnoa-server?%ra%dec&radius=%r1,%r2&%cond&format=8&sort=mr
symbol: mag {circle {} {} {} {} {}} {{(25-$mag)/3600.} {deg 2000}} : b_mag {plus green {} {} {} {}} {{(25-$b_mag)/3600.} {deg 2000}}
search_cols: mag {Brightest (min)} {Faintest (max)}
sort_cols: mag
copyright: Provided by courtesy of the US Naval Observatory
# End config entry

ID	ra	dec	mag	b_mag	qual	field	gsc	d'	pa
U1275_02201110	03:19:51.710	+41:33:26.53	18.0	19.2	0	00199	-	2.834	13.517
U1275_02194814	03:19:26.760	+41:29:45.74	18.0	18.6	0	00199	-	4.114	257.049
U1275_02200811	03:19:50.570	+41:31:48.58	18.0	19.2	0	00199	-	1.209	21.805
U1275_02199955	03:19:47.105	+41:27:58.50	18.0	18.7	0	00199	-	2.719	184.212
U1275_02198348	03:19:40.966	+41:33:39.10	18.0	19.2	0	00199	-	3.257	335.563
U1275_02202891	03:19:58.915	+41:27:12.53	18.0	18.0	0	00199	-	4.018	149.928
U1275_02203648	03:20:01.891	+41:31:39.68	18.0	19.3	0	00199	-	2.747	69.197
U1275_02200499	03:19:49.368	+41:31:50.30	18.0	19.4	0	00199	-	1.173	11.018
U1275_02204832	03:20:06.734	+41:31:39.00	18.1	19.0	0	00199	-	3.606	74.483
U1275_02198766	03:19:42.499	+41:32:14.32	18.1	18.5	0	00199	-	1.880	325.635
U1275_02201848	03:19:54.770	+41:27:05.11	18.1	18.3	0	00199	-	3.808	161.045
U1275_02200221	03:19:48.247	+41:29:24.97	18.2	18.4	0	00199	-	1.270	179.347
U1275_02203287	03:20:00.518	+41:30:05.15	18.2	18.7	0	00199	-	2.389	104.560
U1275_02197712	03:19:38.417	+41:27:54.29	18.2	19.5	0	00199	-	3.328	213.305
U1275_02203819	03:20:02.640	+41:26:47.47	18.2	18.8	0	00199	-	4.745	145.153
U1275_02203293	03:20:00.545	+41:32:21.16	18.2	18.9	0	00199	-	2.853	54.254
U1275_02202919	03:19:59.023	+41:29:23.96	18.2	19.2	0	00199	-	2.406	122.344
U1275_02202161	03:19:56.018	+41:27:19.08	18.3	19.0	0	00199	-	3.675	156.415
U1275_02195844	03:19:30.802	+41:30:53.50	18.3	19.0	0	00199	-	3.258	273.632
U1275_02195784	03:19:30.578	+41:29:47.62	18.3	18.4	0	00199	-	3.413	254.853
U1275_02202796	03:19:58.531	+41:33:19.08	18.3	18.8	0	00199	-	3.269	36.376
U1275_02198684	03:19:42.218	+41:35:28.46	18.3	19.0	0	00199	-	4.916	346.918
U1275_02202752	03:19:58.375	+41:32:38.11	18.3	19.2	0	00199	-	2.728	44.413
U1275_02204779	03:20:06.530	+41:27:13.39	18.3	19.6	0	00199	-	4.881	135.184
U1275_02203059	03:19:59.592	+41:30:22.07	18.3	19.3	0	00199	-	2.162	98.465
U1275_02205275	03:20:08.479	+41:31:10.49	18.3	19.2	0	00199	-	3.833	82.652
U1275_02205144	03:20:07.939	+41:28:50.45	18.3	18.8	0	00199	-	4.137	116.472
U1275_02202567	03:19:57.655	+41:26:54.53	18.4	19.2	0	00199	-	4.174	154.803
U1275_02204072	03:20:03.619	+41:31:13.19	18.4	19.0	0	00199	-	2.941	79.536
U1275_02197919	03:19:39.290	+41:29:29.80	18.4	18.7	0	00199	-	2.044	234.420
U1275_02203631	03:20:01.834	+41:30:19.48	18.4	19.1	0	00199	-	2.584	98.039
U1275_02204602	03:20:05.882	+41:28:00.70	18.4	18.8	0	00199	-	4.261	128.863
U1275_02202582	03:19:57.742	+41:26:54.06	18.4	19.3	0	00199	-	4.189	154.647
U1275_02195558	03:19:29.628	+41:30:46.91	18.4	18.9	0	00199	-	3.473	271.593
U1275_02201235	03:19:52.183	+41:34:39.68	18.4	18.7	0	00199	-	4.045	10.695
U1275_02196100	03:19:31.865	+41:33:42.91	18.4	19.1	0	00199	-	4.299	314.810
U1275_02199470	03:19:45.415	+41:29:04.06	18.5	19.3	0	00199	-	1.699	197.677
U1275_02201115	03:19:51.727	+41:33:14.94	18.5	19.1	0	00199	-	2.647	14.557
U1275_02203361	03:20:00.797	+41:34:37.49	18.5	19.2	0	00199	-	4.592	30.943
U1275_02202798	03:19:58.534	+41:33:15.37	18.5	19.0	0	00199	-	3.220	37.033
U1275_02194658	03:19:26.136	+41:32:57.26	18.6	19.4	0	00199	-	4.706	298.838
U1275_02204797	03:20:06.600	+41:30:05.62	18.6	19.2	0	00199	-	3.501	99.727
U1275_02194155	03:19:24.074	+41:31:59.23	18.6	19.3	0	00199	-	4.694	286.120
U1275_02201441	03:19:53.052	+41:35:16.22	18.6	18.8	0	00199	-	4.674	11.264
U1275_02199147	03:19:44.126	+41:32:43.37	18.6	19.3	0	00199	-	2.172	339.613
U1275_02202617	03:19:57.862	+41:27:54.32	18.6	19.2	0	00199	-	3.321	146.862
U1275_02201761	03:19:54.374	+41:35:16.62	18.7	19.2	0	00199	-	4.735	14.183
U1275_02205335	03:20:08.683	+41:33:00.90	18.7	19.6	0	00199	-	4.490	58.733
U1275_02199401	03:19:45.168	+41:33:18.86	18.7	19.4	0	00199	-	2.687	347.939
U1275_02199073	03:19:43.819	+41:25:48.61	18.7	18.8	0	00199	-	4.944	189.494
U1275_02197509	03:19:37.531	+41:30:31.18	18.7	19.2	0	00199	-	1.999	265.226
