## software,category,number,status,domain,set_soft,non_ussc,class_support,level_support,directory,descrip,comment,
FTNCHEK ,7,5,D,P,B,,N,C,,Fortran source-code checker ,Location varies - at the site managers discretion ,
GHOSTSCRIPT ,7,15,D,P,B,,N,C,/usr/local/bin ,Postscript interpreter / viewer ,Installation location recommended. ,
GKS6 ,2,2,D,,C,,U,N,,Graphical Kernel System (v6.2) ,No port ,
INTERIM ,2,3,D,,C,,U,N,,Interim software environment ,No port ,
JED ,7,2,D,P,B,,N,C,,Text editor ,Location varies - at the site managers discretion ,
SM ,1,70,%,,R,,N,B,/usr/local ,Interactive graphics package ,UK Starlink Nodes only ,
NUTPU ,7,3,%,C,B,*,C,B,,TPU for SUN systems ,Location varies - at the site managers discretion ,
XANADU ,1,63,D,,D,,N,C,,GSFC software system ,Location varies - at the site managers discretion ,
XV ,4,10,D,C,R,,N,C,,Image viewing utility ,Location varies - at the site managers discretion ,
GCC ,5,1,D,P,A,,S,A,/usr/local ,GNU C compiler ,,
TAPEIO ,2,6,D,,C,,U,N,,Magnetic tape routines ,No port ,
EDFITS ,4,71,D,,C,,N,N,,Copy FITS tapes ,No port ,
XEMACS ,7,22,D,P,B,,S,C,/usr/local ,X derivative of Emacs editor ,,
XFIG ,7,23,D,P,B,,S,C,/usr/local ,X image annotation utility ,,
TCSH ,7,21,D,P,B,,S,C,/usr/local ,Enhanced C shell ,,
GV ,7,20,D,P,B,,S,C,/usr/local ,PostScript viewing utility ,,
LATEX2HTML ,7,16,D,P,B,,S,C,/star/local/bin ,LaTeX to HTML convertor ,Now packaged with LATEX2HTML ,
ISPELL ,7,12,D,P,B,,S,C,/usr/local ,Spelling checker ,,
SPAG ,4,78,D,C,R,,C,B,,Fortran source code unscrambler ,Available on star.rl.ac.uk to UK starlink users ,
FORUM ,7,18,D,,A,,U,D,,Conferencing Facility for the WWW ,Server runs at RAL only ,
PINE ,7,4,D,P,B,,N,B,,Electronic mail interface ,Location varies - at the site managers discretion ,
TEX ,7,6,D,P,B,,N,C,/usr/local/teTeX ,Document preparation system ,,
